12:00:21.065741,482DBA58-1E29-45AC-9CBD,DPI_2005_Conf,-50,Bob 
12:00:31.025095,986313DB-99D3-4F21-B1AE,DPI_2005_Conf,-38,Bob 
12:00:41.176644,986313DB-99D3-4F21-B1AE,DPI_2005_Conf,-39,Bob 
12:00:51.123119,986313DB-99D3-4F21-B1AE,DPI_2005_Conf,-38,Bob 
12:01:01.122828,36C97122-1F09-49F7-8012,DPI_2005_Conf,-38,Bob 
12:01:11.076506,36C97122-1F09-49F7-8012,DPI_2005_Conf,-41,Bob 
12:01:21.058505,36C97122-1F09-49F7-8012,DPI_2005_Conf,-41,Bob 
12:01:31.096399,0AC1A33F-5C3F-4717-89AB,DPI_2005_Conf,-41,Bob 
12:01:51.125845,0AC1A33F-5C3F-4717-89AB,DPI_2005_Conf,-44,Bob 
12:02:01.156718,311FE609-D449-4744-A6FF,DPI_2005_Conf,-45,Bob 
12:02:11.065306,311FE609-D449-4744-A6FF,DPI_2005_Conf,-45,Bob 
12:02:21.053159,311FE609-D449-4744-A6FF,DPI_2005_Conf,-42,Bob 
12:02:31.173209,7233873B-F95C-43A6-A9E3,DPI_2005_Conf,-42,Bob 
12:02:41.021646,7233873B-F95C-43A6-A9E3,DPI_2005_Conf,-40,Bob 
12:02:51.068765,7233873B-F95C-43A6-A9E3,DPI_2005_Conf,-39,Bob 
12:03:11.118147,0009A18F-DC97-4473-BE94,DPI_2005_Conf,-41,Bob 
12:03:21.059828,0009A18F-DC97-4473-BE94,DPI_2005_Conf,-41,Bob 
12:03:31.153995,068430A3-3E49-469C-A45B,DPI_2005_Conf,-39,Bob 
12:03:41.076348,068430A3-3E49-469C-A45B,DPI_2005_Conf,-43,Bob 
12:03:51.061656,068430A3-3E49-469C-A45B,DPI_2005_Conf,-41,Bob 
12:04:01.159701,EA13DBDA-32AC-4957-8B60,DPI_2005_Conf,-38,Bob 
12:04:11.046254,EA13DBDA-32AC-4957-8B60,DPI_2005_Conf,-44,Bob 
12:04:21.095177,EA13DBDA-32AC-4957-8B60,DPI_2005_Conf,-43,Bob 
12:04:31.055009,A9826792-991C-4F93-8425,DPI_2005_Conf,-41,Bob 
12:04:41.070546,A9826792-991C-4F93-8425,DPI_2005_Conf,-44,Bob 
12:04:51.074120,A9826792-991C-4F93-8425,DPI_2005_Conf,-41,Bob 
12:05:01.021274,70CBFAED-D668-46DD-A4AC,DPI_2005_Conf,-42,Bob 
12:05:11.076757,70CBFAED-D668-46DD-A4AC,DPI_2005_Conf,-44,Bob 
12:05:21.092175,70CBFAED-D668-46DD-A4AC,DPI_2005_Conf,-43,Bob 
12:05:31.126484,9EE347C2-070A-4503-93AA,DPI_2005_Conf,-38,Bob 
12:05:41.101264,9EE347C2-070A-4503-93AA,DPI_2005_Conf,-39,Bob 
12:05:51.178877,9EE347C2-070A-4503-93AA,DPI_2005_Conf,-41,Bob 
12:06:01.096589,2B375515-3CE6-4A44-B579,DPI_2005_Conf,-40,Bob 
12:06:11.107329,2B375515-3CE6-4A44-B579,DPI_2005_Conf,-43,Bob 
12:06:21.022049,2B375515-3CE6-4A44-B579,DPI_2005_Conf,-43,Bob 
12:06:31.097695,5306B549-A93C-45BC-BDFE,DPI_2005_Conf,-40,Bob 
12:06:41.088097,5306B549-A93C-45BC-BDFE,DPI_2005_Conf,-44,Bob 
12:06:51.096552,5306B549-A93C-45BC-BDFE,DPI_2005_Conf,-45,Bob 
12:07:01.063241,3B54BE33-293E-4835-91B5,DPI_2005_Conf,-46,Bob 
12:07:11.016766,3B54BE33-293E-4835-91B5,DPI_2005_Conf,-46,Bob 
12:07:21.073509,3B54BE33-293E-4835-91B5,DPI_2005_Conf,-40,Bob 
12:07:31.060791,F748CC3D-7D84-48B9-9C8B,DPI_2005_Conf,-40,Bob 
12:07:41.096869,F748CC3D-7D84-48B9-9C8B,DPI_2005_Conf,-40,Bob 
12:07:51.092243,F748CC3D-7D84-48B9-9C8B,DPI_2005_Conf,-41,Bob 
12:08:01.055639,9D08F37F-190A-4AEE-8AB2,DPI_2005_Conf,-41,Bob 
12:08:11.061814,9D08F37F-190A-4AEE-8AB2,DPI_2005_Conf,-42,Bob 
12:08:21.060212,9D08F37F-190A-4AEE-8AB2,DPI_2005_Conf,-49,Bob 
12:08:31.108202,3D1F0F9D-0291-4FDD-99D6,DPI_2005_Conf,-40,Bob 
12:08:41.051234,3D1F0F9D-0291-4FDD-99D6,DPI_2005_Conf,-40,Bob 
12:08:51.022077,3D1F0F9D-0291-4FDD-99D6,DPI_2005_Conf,-40,Bob 
12:09:01.097091,8F610629-E898-45AD-A5B8,DPI_2005_Conf,-41,Bob 
12:09:11.082153,8F610629-E898-45AD-A5B8,DPI_2005_Conf,-41,Bob 
12:09:21.021998,8F610629-E898-45AD-A5B8,DPI_2005_Conf,-37,Bob 
12:09:31.021202,3FD66509-EE47-45E3-AEBB,DPI_2005_Conf,-41,Bob 
12:09:41.049471,3FD66509-EE47-45E3-AEBB,DPI_2005_Conf,-41,Bob 
12:09:51.240744,3FD66509-EE47-45E3-AEBB,DPI_2005_Conf,-42,Bob 
12:10:01.187589,9BDC0C7E-A3C2-4AC2-820A,DPI_2005_Conf,-41,Bob 
12:10:11.062812,9BDC0C7E-A3C2-4AC2-820A,DPI_2005_Conf,-43,Bob 
12:10:21.054103,9BDC0C7E-A3C2-4AC2-820A,DPI_2005_Conf,-42,Bob 
12:10:31.082375,ABD0CCBF-EDBC-46E2-B170,DPI_2005_Conf,-42,Bob 
12:10:41.071622,ABD0CCBF-EDBC-46E2-B170,DPI_2005_Conf,-43,Bob 
